customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
0002cca4cc68601e894ab62839428e5f0696417fe0f9e84551c6827a7629d441,1.0,1.0,ACTIVE,Regularly,55.0,0bb723a1c843bf5ec45c0dc4deb04b285e0f704e2eb297b00ff474c781ccffc9
000e3f587242eb077685a487ad27dad632a4801576dfd16967280f0da3a78c2e,,,ACTIVE,NONE,17.0,bfb09a56a46038e18a2ecdad3823e8e465e2e03f8af133e7b0ab27826bf95f38
001324f693acaea0dea35333ba00ccddd0162d8bc81e76865034fca36cbb89c8,,,ACTIVE,NONE,21.0,6dff525af91b7fd98dd8668b23a358adbe5829886086f7f5683f75f89afdbb3a
0018a4640de2338492de0fcc8325d6f6687d0c7980d804d8d8e4c5bfd24456d7,1.0,1.0,ACTIVE,Regularly,33.0,fa934d2f604ecd6f997d3a9d82f81722a50231850102177bb5a443898a61ec04
001b5949c357ee712f0e44abaa0f65cdaf760c0787ae00c1fd910e717016a891,1.0,1.0,ACTIVE,Regularly,21.0,39a630062d10bae6e7e24dbf9f28706959e5fa1d711130868601363bd538fe65
0022c56940b4baff4c5f49bf123acc71e625b2bb72cccd27bc9bcd7810e93da6,,,ACTIVE,NONE,23.0,e159b3a7d2543d360f81d6cd24af2409b58bcfa93134fab80c97e73189390bd6
0028842574b1e175044a42c9282b0d0b6c8bc5fd079afb1d24aaba1cdd2dd33d,1.0,1.0,ACTIVE,Regularly,26.0,fd10b8b1aea942e4a1b87c5cbffb2bb7e3dbc24365ebccd6c068461b80ace1d3
002e3ee8a6964afb6f195dcae15d05f0bd4884ebe7842b874fff669b1f813b2a,1.0,1.0,ACTIVE,Regularly,20.0,e48e4f46d686a2662cd004c192d595801281a20c760c9589c37921cf75b7044f
002f35114ef574a03f62e1a389ce6dcf54e75df74a97a4c9355d19fc914130aa,1.0,1.0,ACTIVE,Regularly,20.0,1d28b0272dcb352e2208c31284e245fed5690285158960ab28b404683e5240a8
00346f78442e15b19e597389a3bb4300aec7b6ee48d3498de830c09527626834,,,ACTIVE,NONE,30.0,4ea3df2e5533ed993823eb488b2515c6173921e7a2735f3c252ad8b1e97da238
00356a94bb9bed341f6dba58ad722974b01a1cbd9f06efb314ffc4b55dd9961a,,,ACTIVE,NONE,40.0,2d88dd8442daf007e110be22767532127f2b639fb529e866e280c8ae0087193d
0038bf2b66fdc1de4e25bce86c50d6dbdc3a0c3551c354d74d976b477b97ea65,1.0,1.0,ACTIVE,Regularly,44.0,798e39ac61cba624cd4a3b27d4ce23afbb1096ff45aefc442eaf6f02e89e0a7d
003ab2e5af2fc89b43875961353c50d1868bfc161be428e693e428c276befee2,,,ACTIVE,NONE,52.0,240cf154c2a00c77084b6cf5ab4ed91be7b5e46911ffdd7ea50c6e69d6251bd1
003c9b42edc35594be66e520e685107da5e475d89edfe7ed71b2a72a09a2c799,,,ACTIVE,NONE,20.0,9da552ac8b578d1659ac01c1c9ef1484efc2c51633e9b8fdfbaa999546b73dd9
003e53ba4aafc06bedafebcdf4f7356bbab4ea75025c30349f7a7ea4979d15d7,1.0,1.0,ACTIVE,Regularly,58.0,4a799bb8b899a603dd458ac8a6248a00f5f1ce58d73d7766d633e4ee0f02a07e
004432f08708cc4997463536d848b960b3752dbbfa66aeede7998700c5e81552,1.0,1.0,ACTIVE,Regularly,23.0,7c97e17baa0c0db4eee50a3dc8cc6c8d6c68c71f29081ea6f3a9c1133d016453
0045ebd4aef7f6e4926a372ed1d71a4bc71baf65f6673e85d2f87398ca8e0a67,,,ACTIVE,NONE,49.0,a97edc59818153102c279b226a157d28cf7bd9730a3c6a00f69a2b78a5bfc6f3
00485ab33d67fd29a51f4151bc4a776db53c751834593ae85aa1142043653c8f,1.0,1.0,ACTIVE,Regularly,22.0,3f532d3f2e8521fb9929ac92f54fc3c2955236d6ee19de0cf590237627c2f093
004888668b9458668aa3234d17337671673599f7f84d36f77fd366b5139058c5,1.0,1.0,ACTIVE,Regularly,23.0,063afae71598c3518f621e4a1224fef11de39f938d2d860bc5444bda9e619a5f
004aefcffd63b1fdb0bc2024f305323bb272daa2b085499d55065175b78f1824,1.0,1.0,ACTIVE,Regularly,53.0,829f83dbe29503107425fe20c9f563b58d54b48f386ec7b91b2f4e89612af6bd
004c221ce24b75d1a43ff9d2b5ae10438e52658300330f2f1ffc12f3c2787a82,,,ACTIVE,NONE,21.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
004e436e24e390714fdbcf2554404410731490b803b3c17b9052e5671f8ce753,,,ACTIVE,NONE,37.0,7598b174d89806639d2e43f7ad7b1a8d13b03c89da7cc3f6877c7af908c1278e
0056df27788b4b05b84e0049e9a570b452eb9cf60bd0bae58fe47965ff8c49b6,,,ACTIVE,NONE,53.0,be1c9990bfa14d021be03402f8455ffbbbb537f895989083c8ff46273d7b8d4c
00570cd7be67be3d9d79ffe788a1f5373460f1c8bb08d536db53cb4f039c635b,,,ACTIVE,NONE,24.0,919ff2d67c52c430fd9027f85399c60c016754ca1345a7dbef3988443ee56138
