customer_id,prediction
1a674938eb6b4f9b3ef35eda901f7c8a319f2666b182412685fb4785b22d002d,0894788001 0696736001 0751157007 0701134009 0605106002 0701134010
1b291588ef8570d77e354d045dc8041d9235f2437c3d1f9bd3ddff487e20fd64,0706016001 0706016002 0554450001 0448509014 0436083001 0832361001
1dc5a502ddc5c507ddebc319d570e72e27aa3b0cf24ebdae0c1f6cb5ccda2b8e,0733098011 0562245050 0631902001 0673677002 0745475004 0675203009
3ea749dbef28880a274d2b57172786a846a3da1d5893a31ba9e20eaf20b63aef,0108775015 0861477001 0554450036 0658298007 0636323001 0506098007
4ebffa8ff4c82e506432eb23dc5ad052875e105c934fcde557ddc2d7d76fd36a,0599580038 0833499002 0688537029 0833530002 0684209032 0688537010
53c2685a64ae65cb4b6c3bdb9320cf88b5f66c059dd724623bc3ffb9807b069f,0493995001 0770315010 0406724002 0818031001 0853510001 0470985003
85aaa388d059e619adbb89de4baa175309cd67116fdb5667ba253931d375f7f3,0772902002 0781613006 0879891001 0709726001 0689022002 0865086006
8f42be887f2d8cfaa5c03b3ecf8dd091274b88b36814e7c8a53dd36180fedd56,0688537021 0684209027 0687704001 0727029001 0688537011 0823505001
97cca587d17bf8c01625b18cc643d076ba59499d4b1e34f74c7e9df32fde6646,0399256005 0608776002 0730683001 0736530007 0562245102 0516000089
a62304d5883f3db87173ba70a6f5eefdcffb41a8a17259ffad14f1c7d4291fbd,0878013004 0878013001 0534181005 0736530007 0739144007 0605690001
acde50203ef7d410a84b791425c2d963411c75c5c3c89c95121f0e8a81a214ff,0266875001 0631902001 0734895002 0716590008 0217727002 0517762007
b31ac28c055c15defdc04a486c8c18bde8458462ea94c44175b72bb998d4b0d4,0399256005 0715343003 0834217004 0399256019 0859105002 0687034009
c6d3f10175cd49348a5839d1ec301d1e8855955333fc7da2cf28a002663c2709,0399256005 0399087014 0399087029 0399256019 0870468001 0677930064
fe433bc26cb1c5e86601ceab67402de280d8281cc8fcb265fc3c7dbdac766d02,0673677002 0854683003 0854677003 0859125001 0759871002 0724399001
097ff210f8bfe5e3de1d0dd4c1f104add81962a0e89b78ad35a68bba4899d1fd,0680374001 0777224001 0843194002 0713802001 0750330003 0807681007
110ffa1b655e254a3580361569816e04fa33ca7cb81a500ba6280ed4f8bfd13f,0493995001 0770315010 0406724002 0818031001 0853510001 0470985003
158d4a804c42afa4ad55ddb0f279a5e2dc0e45b48926d8637a40c3c1ebb5325b,0573716012 0661794002 0663282003 0794321001 0665095005 0708065001
226834f119ea849fb34402f34cb1a973820523cf2e522f77ddbdac7091a00359,0200182001 0817472002 0541519021 0697091002 0675139002 0689096001
4510e9021ef9d554c69bd699603cbd79447232a286c3055eeba77831a9b6da00,0706016001 0706016015 0554450001 0599580017 0759871002 0448509014
5daaade09c05962b60524b1d482fd83c393449e4412ae6ce6e7e52c34cea0d70,0562245046 0562245001 0562245050 0562245004 0711053026 0796210001
71e5a77be9abe720596945085fcc163b9f65f435f09ac100f1a7fa6ac25a52ed,0742933001 0126589010 0629758005 0615141001 0630701001 0639895003
8260a405928cdce998ec2739de31225c301332bc0e7178cb146733cdefa3c3fd,0507910001 0781613006 0673677002 0876053003 0711053003 0773989001
a5c2c71cacb04d23361ba887e3e09391fa04e93d7ca53927dec2bd67ba91427d,0667491006 0679854009 0763706001 0648209001 0616124005 0663275002
a82a21af2f930dceb102c8104378ce439389a596218471076195235fd5af40b6,0493995001 0797078010 0406724002 0818031001 0853510001 0470985003
c970db7e957855a278e510fcefe2ad9fff8bf7ca35daebbd5a8ad335ace330b5,0493995001 0797078010 0406724002 0818031001 0853510001 0470985003
d3f2879af3248a382d57fa36c74631ff1252a249c6ac168a045e3d0e6439be0f,0564334002 0655261009 0742079002 0717490008 0399136061 0619234005
de4d7e43eb6e32ce6d4a283f1e2c7c2dc4048d18b8eda07a80d5f1c7042b07ca,0399201023 0667491002 0673396002 0780096001 0399136027 0686461001
f21a50d171c5ac1ae018bff31651e7040cd6ed3547f2abb255fed28382d6268b,0698387003 0878508002 0697834006 0878508003 0616711001 0567499001
0b93752cb5c8502112d84dcf0bcfe929380a308e49e3c66b427c593ef5e2f5c9,0791587005 0717490008 0791587009 0827083001 0591334019 0749699002
1ddc6369444be5020211508f778b1114ef9c0eebc7ef05c7995eba872184d510,0399223001 0660726001 0565379001 0562245001 0817401003 0859105002
31d090dc556f57c7dbae77ecc697d99cd82494aae26e41a63c958f5dd026fd89,0695170004 0599502012 0621759003 0505704004 0651697001 0621760008
699327cc8d4b35bcbc0e17c5183966819ad1d829215b0ab912c934c592e2ad6e,0727029001 0589599047 0680262001 0688537012 0724905009 0684209014
92651210fc3a1fb92cf5f0d8c3f1c2718be8b9ff7cb64ddc3963d07b9cbf570f,0749699001 0664074001 0749699002 0816563001 0685448004 0816563002
10a955f37a0e6c6f355cf5e4cca11b25a40d7945d5d1729fd8114637e65d4f5e,0682550001 0687524001 0835712003 0677930086 0536139070 0717490008
226249bb21989a04c80a568fe134d83dfa45aecd579a790e69bbce1516103f75,0228257001 0573716039 0881691003 0750424016 0727029001 0589924011
2537167ced42c4c92785ca1f5924a0042680f6449764c80100eb54f729bff80e,0294008002 0294008005 0703558001 0608213002 0573626008 0638358001
263d5855415377b02a8d7575c9bc7386d2c751e08b5d79898b9436b7a67b502b,0724906003 0706004001 0766194003 0490176002 0673144002 0594542003
2e229289a52a0c8fe8caa8d401d1ced5283c690264c10e0ace258b5a21255c33,0720125007 0840774001 0691177004 0639845008 0676667001 0692425002
2feabd3af46f54e652a2ca8b02f300de808b43513090ba9477626a33fbcad5ba,0399136061 0711521001 0591334019 0399136009 0669786002 0649553009
549072cc8bfa567bc3959c26bdd498d27324ee05e28b9c246c61afc5db1bf97f,0759871003 0733749001 0448515001 0659832001 0861847004 0759871001
5928b4ad679ee5ed2f2726a4c5417cd9549c27e5a0516a6df9a1f9019bba1a02,0706016001 0706016002 0706016003 0554450001 0706016007 0706016006
5c88564ee68bcc208dacfa7f6d4d07f2dec0482c2c9493674bef16548bda7e30,0637549003 0687524001 0687524002 0613456001 0625818002 0446224001
