t_dat,customer_id,article_id,price,sales_channel_id
2018-09-20,1a674938eb6b4f9b3ef35eda901f7c8a319f2666b182412685fb4785b22d002d,0493995001,0.0209152542372881,2
2018-09-20,1b291588ef8570d77e354d045dc8041d9235f2437c3d1f9bd3ddff487e20fd64,0669361001,0.0423559322033898,1
2018-09-20,1b291588ef8570d77e354d045dc8041d9235f2437c3d1f9bd3ddff487e20fd64,0669361001,0.0423559322033898,1
2018-09-20,1dc5a502ddc5c507ddebc319d570e72e27aa3b0cf24ebdae0c1f6cb5ccda2b8e,0661095001,0.0593050847457627,1
2018-09-20,3ea749dbef28880a274d2b57172786a846a3da1d5893a31ba9e20eaf20b63aef,0657415005,0.0254067796610169,1
2018-09-20,3ea749dbef28880a274d2b57172786a846a3da1d5893a31ba9e20eaf20b63aef,0579541036,0.0169322033898305,1
2018-09-20,4ebffa8ff4c82e506432eb23dc5ad052875e105c934fcde557ddc2d7d76fd36a,0680810001,0.0338813559322033,2
2018-09-20,53c2685a64ae65cb4b6c3bdb9320cf88b5f66c059dd724623bc3ffb9807b069f,0628535009,0.0121864406779661,2
2018-09-20,53c2685a64ae65cb4b6c3bdb9320cf88b5f66c059dd724623bc3ffb9807b069f,0629607006,0.0135423728813559,2
2018-09-20,85aaa388d059e619adbb89de4baa175309cd67116fdb5667ba253931d375f7f3,0685687004,0.0169322033898305,2
2018-09-20,85aaa388d059e619adbb89de4baa175309cd67116fdb5667ba253931d375f7f3,0692747002,0.0169322033898305,2
2018-09-20,8f42be887f2d8cfaa5c03b3ecf8dd091274b88b36814e7c8a53dd36180fedd56,0663396002,0.0508305084745762,1
2018-09-20,8f42be887f2d8cfaa5c03b3ecf8dd091274b88b36814e7c8a53dd36180fedd56,0562245058,0.0271016949152542,1
2018-09-20,97cca587d17bf8c01625b18cc643d076ba59499d4b1e34f74c7e9df32fde6646,0675139002,0.0161186440677966,1
2018-09-20,97cca587d17bf8c01625b18cc643d076ba59499d4b1e34f74c7e9df32fde6646,0399061012,0.0564745762711864,1
2018-09-20,97cca587d17bf8c01625b18cc643d076ba59499d4b1e34f74c7e9df32fde6646,0446224016,0.0161355932203389,1
2018-09-20,97cca587d17bf8c01625b18cc643d076ba59499d4b1e34f74c7e9df32fde6646,0686631001,0.0403389830508474,1
2018-09-20,97cca587d17bf8c01625b18cc643d076ba59499d4b1e34f74c7e9df32fde6646,0524825012,0.0403389830508474,1
